ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
N06	1	10	14	cyan
N07	1	11	14	cyan
N08	1	10	14	cyan
N10	2	4	10	purple
N11	2	6	10	purple
N12	2	15	10	purple
N13	1	10	14	cyan
N14	2	15	10	purple
N15	2	15	10	purple
N16	2	15	10	purple
N17	1	10	14	cyan
N18	1	10	14	cyan
N20	1	10	14	cyan
N21	1	10	14	cyan
N22	1	10	14	cyan
N25	1	10	14	cyan
N26	1	10	14	cyan
N27	1	10	14	cyan
N28	1	10	14	cyan
N29	1	10	14	cyan
N30	1	10	14	cyan
N32	1	10	14	cyan
N33	1	10	14	cyan
N34	1	10	14	cyan
N35	1	10	14	cyan
N36	1	10	14	cyan
N37	1	10	14	cyan
N39	1	10	14	cyan
N40	1	10	14	cyan
N41	1	1	14	cyan
N42	1	3	14	cyan
N43	1	3	14	cyan
N44	1	3	14	cyan
N45	1	1	14	cyan
N46	1	9	14	cyan
N47	1	6	14	cyan
N48	1	3	14	cyan
N49	1	1	14	cyan
N50	1	3	14	cyan
N51	1	9	14	cyan
N52	6	9	16	lightcyan
N53	6	9	16	lightcyan
N60	3	11	2	blue
N61	3	1	2	blue
N62	3	11	2	blue
N63	3	3	2	blue
N64	3	7	2	blue
N65	3	11	2	blue
N70	15	9	8	pink
N71	15	9	8	pink
N72	15	9	8	pink
N73	15	9	8	pink
N74	15	9	8	pink
N75	15	9	8	pink
N76	15	9	8	pink
N77	15	9	8	pink
N81	15	9	8	pink
N82	15	9	8	pink
N83	15	9	8	pink
N84	15	9	8	pink
N85	15	9	8	pink
N86	15	9	8	pink
N87	15	9	8	pink
N88	15	9	8	pink
N89	15	9	8	pink
N90	15	9	8	pink
N91	15	9	8	pink
N92	15	9	8	pink
N93	15	9	8	pink
N95	15	9	8	pink
N96	1	9	14	cyan
N97	15	9	8	pink
N98	10	9	0	grey
N99	10	10	0	grey
O00	15	9	8	pink
O03	15	9	8	pink
O04	15	9	8	pink
O05	15	9	8	pink
O06	15	9	8	pink
O07	15	9	8	pink
O08	15	9	8	pink
O09	1	9	14	cyan
O10	8	9	20	royalblue
O11	8	9	20	royalblue
O12	15	9	8	pink
O13	8	9	20	royalblue
O14	8	9	20	royalblue
O15	15	9	8	pink
O16	8	9	20	royalblue
O20	1	9	14	cyan
O21	15	9	8	pink
O22	15	9	8	pink
O23	15	9	8	pink
O24	15	9	8	pink
O25	9	9	15	midnightblue
O26	8	9	5	green
O28	15	9	8	pink
O29	15	9	8	pink
O30	15	9	8	pink
O31	15	9	8	pink
O32	8	9	5	green
O33	8	9	5	green
O34	15	9	8	pink
O35	8	9	5	green
O36	8	9	5	green
O40	15	9	8	pink
O41	15	9	8	pink
O42	15	9	8	pink
O43	15	9	8	pink
O44	15	9	8	pink
O46	15	9	8	pink
O47	15	9	8	pink
O48	15	9	8	pink
O60	15	9	8	pink
O61	16	20	0	grey
O62	15	9	8	pink
O63	15	9	8	pink
O64	15	9	8	pink
O66	15	9	8	pink
O67	15	9	8	pink
O68	15	9	8	pink
O69	15	9	8	pink
O70	15	9	8	pink
O71	15	9	8	pink
O72	15	9	8	pink
O73	15	9	8	pink
O74	15	9	8	pink
O75	15	9	8	pink
O76	15	9	8	pink
O77	15	9	8	pink
O80	17	9	8	pink
O81	17	9	8	pink
O82	15	9	8	pink
O84	17	9	8	pink
O85	15	9	8	pink
O86	15	9	8	pink
O87	15	9	8	pink
O88	15	9	8	pink
O89	15	9	8	pink
O90	15	9	8	pink
O91	3	9	2	blue
O92	3	9	2	blue
O94	15	9	8	pink
O95	15	9	8	pink
O96	15	9	8	pink
O97	15	9	8	pink
O98	15	9	8	pink
O99	15	9	8	pink
O9A	15	9	8	pink
P01	8	14	5	green
P02	8	14	5	green
P03	8	14	5	green
P04	8	14	5	green
P07	8	14	5	green
P08	8	14	5	green
P09	18	11	3	brown
P10	14	12	11	greenyellow
P11	5	14	1	turquoise
P12	14	12	11	greenyellow
P13	14	12	11	greenyellow
P14	14	14	11	greenyellow
P15	14	14	11	greenyellow
P19	8	14	5	green
P20	8	14	5	green
P22	8	4	5	green
P23	3	4	12	tan
P24	8	4	5	green
P25	8	4	5	green
P26	8	4	5	green
P27	8	14	5	green
P28	8	14	5	green
P29	14	14	11	greenyellow
P35	3	5	2	blue
P36	8	1	5	green
P37	8	14	5	green
P38	8	1	5	green
P39	14	1	11	greenyellow
P50	8	14	5	green
P52	5	14	1	turquoise
P53	8	14	5	green
P54	8	14	5	green
P55	8	14	5	green
P56	8	14	5	green
P58	8	14	5	green
P59	8	14	5	green
P60	8	9	5	green
P61	8	14	5	green
P70	9	14	15	midnightblue
P71	8	14	5	green
P72	9	14	15	midnightblue
P74	9	14	15	midnightblue
P75	3	14	12	tan
P76	2	14	10	purple
P77	2	14	10	purple
P78	8	14	5	green
P80	8	14	5	green
P81	8	14	5	green
P83	8	14	5	green
P84	8	14	5	green
P90	5	5	1	turquoise
P91	5	5	1	turquoise
P93	8	15	5	green
P96	8	14	5	green
Q00	5	11	1	turquoise
Q01	4	12	3	brown
Q03	5	11	1	turquoise
Q04	5	11	1	turquoise
Q05	7	11	9	magenta
Q06	7	11	9	magenta
Q07	5	7	1	turquoise
Q10	7	13	17	grey60
Q11	7	13	17	grey60
Q12	7	13	17	grey60
Q13	7	13	17	grey60
Q14	7	13	17	grey60
Q15	7	13	17	grey60
Q17	2	12	10	purple
Q20	8	11	21	darkred
Q22	8	11	21	darkred
Q23	8	11	21	darkred
Q24	8	11	21	darkred
Q25	8	11	20	royalblue
Q26	8	11	20	royalblue
Q27	8	11	20	royalblue
Q30	3	11	12	tan
Q31	3	11	12	tan
Q32	5	4	1	turquoise
Q33	3	11	12	tan
Q34	5	11	1	turquoise
Q35	5	11	1	turquoise
Q36	5	11	1	turquoise
Q37	5	11	1	turquoise
Q38	3	11	12	tan
Q39	5	11	1	turquoise
Q40	5	3	1	turquoise
Q41	5	11	1	turquoise
Q42	2	11	10	purple
Q44	8	3	5	green
Q45	5	3	1	turquoise
Q50	15	9	8	pink
Q51	15	9	8	pink
Q52	15	9	8	pink
Q53	1	11	14	cyan
Q54	1	10	14	cyan
Q55	1	11	14	cyan
Q56	1	9	14	cyan
Q60	1	11	14	cyan
Q61	1	10	14	cyan
Q62	1	10	14	cyan
Q63	1	11	14	cyan
Q64	1	10	14	cyan
Q65	5	18	1	turquoise
Q66	5	11	1	turquoise
Q67	5	12	1	turquoise
Q68	5	12	1	turquoise
Q69	5	11	1	turquoise
Q71	5	11	1	turquoise
Q73	5	11	1	turquoise
Q74	5	11	1	turquoise
Q75	4	12	3	brown
Q76	7	11	9	magenta
Q77	7	11	9	magenta
Q78	5	11	1	turquoise
Q79	5	12	1	turquoise
Q80	1	6	18	lightgreen
Q81	1	7	18	lightgreen
Q82	1	6	18	lightgreen
Q83	3	11	2	blue
Q84	1	7	18	lightgreen
Q85	4	7	3	brown
Q86	8	15	5	green
Q87	5	11	1	turquoise
Q90	5	11	1	turquoise
Q91	5	11	1	turquoise
Q92	5	11	1	turquoise
Q93	5	11	1	turquoise
Q95	4	7	3	brown
Q96	5	11	1	turquoise
Q97	5	11	1	turquoise
Q98	5	11	1	turquoise
R01	8	11	21	darkred
R03	8	11	20	royalblue
R04	3	4	12	tan
R06	8	4	5	green
R07	6	7	16	lightcyan
R09	4	3	3	brown
R10	6	9	16	lightcyan
R11	2	3	10	purple
R12	2	7	10	purple
R13	13	9	16	lightcyan
R15	1	10	14	cyan
R16	4	3	3	brown
R17	8	3	5	green
R18	2	3	10	purple
R19	4	3	3	brown
R20	1	6	13	salmon
R21	4	6	3	brown
R22	4	12	3	brown
R23	1	6	18	lightgreen
R25	5	5	1	turquoise
R27	4	7	3	brown
R30	1	10	14	cyan
R31	1	10	14	cyan
R32	1	10	14	cyan
R34	1	10	14	cyan
R36	1	10	14	cyan
R37	6	9	16	lightcyan
R39	1	10	14	cyan
R40	4	16	3	brown
R41	13	16	16	lightcyan
R42	4	12	3	brown
R43	4	7	3	brown
R44	4	16	3	brown
R45	11	16	6	red
R46	4	7	3	brown
R47	13	7	16	lightcyan
