ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
X66	12	21	6	red
X67	12	21	6	red
X68	12	21	6	red
X69	12	21	6	red
X70	6	20	16	lightcyan
X72	6	20	16	lightcyan
X73	6	20	16	lightcyan
X74	6	20	16	lightcyan
X75	6	20	16	lightcyan
X76	6	20	16	lightcyan
X77	6	20	16	lightcyan
X78	6	20	16	lightcyan
X79	6	20	16	lightcyan
X80	6	20	16	lightcyan
X81	6	20	16	lightcyan
X82	6	20	16	lightcyan
X83	6	20	16	lightcyan
X84	6	20	16	lightcyan
Y07	13	16	16	lightcyan
Y20	20	19	6	red
Y22	20	19	6	red
Y23	20	19	6	red
Y24	20	19	6	red
Y25	20	19	6	red
Y26	20	19	6	red
Y27	20	19	6	red
Y28	20	19	6	red
Y29	20	19	6	red
Y30	20	19	6	red
Y32	20	19	6	red
Y33	20	19	6	red
Y34	20	19	6	red
Y37	20	19	6	red
Y38	14	12	11	greenyellow
Y76	21	10	0	grey
Y79	21	1	0	grey
Y83	10	4	0	grey
Y84	10	4	0	grey
Y85	5	12	1	turquoise
Y86	5	12	1	turquoise
Y87	5	7	1	turquoise
Y88	20	4	15	midnightblue
Y89	10	7	0	grey
Y91	18	7	3	brown
Y95	20	4	15	midnightblue
Y96	3	4	12	tan
Z14	19	22	7	black
Z15	18	14	3	brown
Z16	22	15	0	grey
Z21	1	2	13	salmon
Z22	19	1	7	black
Z32	15	9	8	pink
Z33	1	9	14	cyan
Z37	15	9	8	pink
Z38	1	9	14	cyan
Z3A	17	9	8	pink
Z54	13	9	16	lightcyan
Z58	3	7	12	tan
Z64	13	16	16	lightcyan
Z65	13	16	16	lightcyan
Z73	4	9	3	brown
Z74	13	16	16	lightcyan
Z89	7	12	9	magenta
Z90	7	3	9	magenta
Z94	10	3	0	grey
Z98	19	22	7	black
Z99	13	9	16	lightcyan
